ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
Redo	Повторить	Правка	Повторить последнюю ранее отмененную операцию Повторить		c:\vt5\vt5\x64\Debug\comps\ActionMan.dll			
Undo	Отменить	Правка	Отменить последнюю выполненную операцию Отменить		c:\vt5\vt5\x64\Debug\comps\ActionMan.dll			
EnumActions	Список акций...	For Developers	Список акций Список акций		c:\vt5\vt5\x64\Debug\comps\ActionMan.dll			
RunScript	Командная строка...	Сервис	Run the script Командная строка		c:\vt5\vt5\x64\Debug\comps\ActionMan.dll			
ShowLayout	Показать расположение элементов оформления	Расположение	Показать расположение элементов оформления Показать расположение элементов оформления		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxInsertControl	Вставить элемент оформления	Расположение	Вставить новый  элемент оформления Вставить элемент оформления	 (interactive)	c:\vt5\vt5\x64\Debug\comps\axeditor.dll	ProgID:string; Views:int=0		
AxChangeSize	Изменить размер элемента оформления	Расположение	Изменить размер элемента оформления Изменить размер элемента оформления		c:\vt5\vt5\x64\Debug\comps\axeditor.dll	width:int=-1; height:int=-1		
AxControlProperties	Свойства	Расположение	Изменить свойства элемента оформления Свойства элемента оформления		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxAlignLeft	Выравнивание по левому краю	Расположение	Выравнивание по левому краю Выравнивание по левому краю		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxAlignTop	Выравнивание по верхнему краю	Расположение	Выравнивание по верхнему краю Выравнивание по верхнему краю		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxAlignRight	Выравнивание по правому краю	Расположение	Выравнивание по правому краю Выравнивание по правому краю		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxAlignBottom	Выравнивание по нижнему краю	Расположение	Выравнивание по нижнему краю Выравнивание по нижнему краю		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxSpaceAccross	Горизонтальный интервал	Расположение	Выравнивание горизонтального интервала Горизонтальный интервал		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxSpaceDown	Вертикальный интервал	Расположение	Выравнивание вертикального интервала Вертикальный интервал		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxMakeSameWidth	Выравнивание по ширине	Расположение	Выравнивание по ширине Выравнивание по ширине		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxMakeSameHeight	Выравнивание по высоте	Расположение	Выравнивание по высоте Выравнивание по высоте		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxMakeSameSize	Выравнивание по размеру	Расположение	Выравнивание по размеру Выравнивание по размеру		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxSetControlSize	Установить размер элемента оформления	Расположение	Установить размер элемента оформления Установить размер элемента оформления		c:\vt5\vt5\x64\Debug\comps\axeditor.dll	left:int=10; top:int=10; right:int=110; bottom:int=110		
AxAddEventHandlers	Добавить обработчика событий	Расположение	Добавить обработчика событий Добавить обработчика событий		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
AxIncMoveSize	Изменить размер элементов оформления	Расположение	Изменить размер элементов оформления Изменить размер элементов оформления		c:\vt5\vt5\x64\Debug\comps\axeditor.dll	dx:int=0; dy:int=0; dcx:int=0; dcy:int=0		
AxShowControlID	Показать идентификаторы справки	Расположение	Показать идентификаторы справки Показать идентификаторы справки		c:\vt5\vt5\x64\Debug\comps\axeditor.dll			
FormPressCancel	Form Press Cancel	Layout	Form Press Cancel Form Press Cancel		c:\vt5\vt5\x64\Debug\comps\axform.dll			
FormPressOK	Form Press OK	Layout	Form Press OK Form Press OK		c:\vt5\vt5\x64\Debug\comps\axform.dll			
CalcStat	Статистический анализ	Classification	Статистический анализ Статистический анализ		c:\vt5\vt5\x64\Debug\comps\Classes.dll			
ObjectSetClass	Назначить класс	Classification	Назначить класс для выбранного обекта Назначить класс		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ClassName:string		
ClassRename	Переименовать класс	Classification	Переименовать класс Переименовать класс		c:\vt5\vt5\x64\Debug\comps\Classes.dll	OldName:string; NewName:string		
ClassRecolor	Изменить цвет класса	Classification	Изменить цвета класса Изменить цвет класса		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ClassName:string; Color:int=0		
ClassCreate	Создать класс	Classification	Создать новый класс Создать класс		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ClassName:string		
ClassDelete	Удалить класс	Classification	Удалить выбранный класс Удалить класс		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ClassName:string		
ObjectSetClassDirect	Назначить класс для объекта	Classification	Назначить активный класс для выбранного объекта Назначить класс для объекта		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ObjectName:string; ClassName:string		
SetActiveClass	Активизировать класс	Classification	Выбрать класс и активизировать его Активизировать класс		c:\vt5\vt5\x64\Debug\comps\Classes.dll	ClassName:string		
AlignImages	Выравнивание изображений	Internal Actions	Выровнять изображения по совпадающим частям Выравнивание изображений	 (filter)	c:\vt5\vt5\x64\Debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image		
CollectByDisp	Расширенный фокус по Disp	Internal Actions	Создать результирующее изображение по Disp Расширенный фокус по Disp	 (filter)	c:\vt5\vt5\x64\Debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	Focus Result:Image	
CollectByPoints	Расширенный фокус  по точкам	Internal Actions	Создать результирующее изображение по точкам Расширенный фокус  по точкам	 (filter)	c:\vt5\vt5\x64\Debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	CollectedByPoints:Image	
CollectByMasks	Расширенный фокус по маскам	Internal Actions	Создать результирующее изображение по маскам Расширенный фокус по маскам	 (filter)	c:\vt5\vt5\x64\Debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	Focus Result:Image	
CompareImages	Сравнить изображения	Изображение	Поворот: PgDn, PgUp; перемещение: Ctrl+стрелки; изменение размера: Shift+стрелки, выход: Esc Сравнить изображения	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Compare.dll			
FreeTransformation	Свободное преобразование	Изображение	Поворот: PgDn, PgUp; перемещение: Ctrl+стрелки; изменение размера: Shift+стрелки, выход: Esc Свободное преобразование	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Compare.dll			
TransformationByPoints	Совместить точки на изображениях	Изображение	Совместить реперные точки на изображениях. Установите на каждом изображении соответствующие точки. Двойное нажатие - завершение операции Совмещение точек	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Compare.dll			
NormalizeParameters	Нормализация параметров	Классификация	Нормализация параметров Нормализация параметров		c:\vt5\vt5\x64\Debug\comps\Cromos.dll			
Scissors	Ножницы	Карио	Разделение хромосом. Рисовать при нажатой левой кнопке мыши, отпустить кнопку - завершение. Separate objects	 (interactive)	c:\vt5\vt5\x64\Debug\comps\CutArea.dll			
ImposingDivision	Разделение наложений	Карио	Обведите контур хромосомы при нажатой левой кнопке мыши, по завершении отпустите кнопку Разделение наложений	 (interactive)	c:\vt5\vt5\x64\Debug\comps\CutArea.dll			
SendTo	Отправить в...	Сервис	Отправить активный элемент в другой открытый документ Отправить в		c:\vt5\vt5\x64\Debug\comps\Data.dll	SourceDocGuid:string; TargetDocGuid:string; PutToDocument:int=1; DBaseFieldName:string; NewDocument:int=0; SingleObjectName:string		
DataToExcelAvail	DataToExcelAvail	Правка	DataToExcelAvail DataToExcelAvail		c:\vt5\vt5\x64\Debug\comps\Data.dll			
ObjectTouch	Make object last in type	Edit	Make object last in type Make object last in type		c:\vt5\vt5\x64\Debug\comps\Data.dll	Object:string		
ClipboardAvail	Буфер обмена доступен	Правка	Буфер обмена доступен Буфер обмена доступен		c:\vt5\vt5\x64\Debug\comps\Data.dll			
CreateImageByView	Объединить видимые элементы	Изображение	Объединить элементы из активной части окна документа Объединить видимые элементы		c:\vt5\vt5\x64\Debug\comps\Data.dll	ImageName:string		
ObjectNew	Новый элемент...	Правка	Создание нового элемента в активном документе Новый элемент		c:\vt5\vt5\x64\Debug\comps\Data.dll	Type:string; Name:string; ActivateObject:int=1		
ObjectSelect	Выбрать элемент	Правка	Выбор существующего элемента Выбрать элемент		c:\vt5\vt5\x64\Debug\comps\Data.dll	Object:string; ActivateType:int=0		
ObjectDelete	Удалить элемент(ы)	Правка	Удаление элементов, выбранных в окне Содержание Удалить выбранные элементы		c:\vt5\vt5\x64\Debug\comps\Data.dll	Object:string		
ObjectRename	Переименовать элемент...	Правка	Переименование элемента Переименовать элемент		c:\vt5\vt5\x64\Debug\comps\Data.dll	OldName:string; NewName:string		
ObjectProperties	Свойства элемента	Правка	Свойства элемента Свойства элемента		c:\vt5\vt5\x64\Debug\comps\Data.dll	Object:string		
ObjectLoad	Загрузить элемент	Файл	Загрузить новый элемент Загрузить элемент		c:\vt5\vt5\x64\Debug\comps\Data.dll	Type:string; Path:string; ActivateObject:int=1		
ObjectSave	Сохранить элемент как...	Файл	Сохранение элемента в отдельном файле Сохранить элемент как		c:\vt5\vt5\x64\Debug\comps\Data.dll	ObjectName:string; Path:string		
