ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
Redo	Повторить	Правка	Повторить последнюю ранее отмененную операцию Повторить					
Undo	Отменить	Правка	Отменить последнюю выполненную операцию Отменить					
EnumActions	Список акций...	For Developers	Список акций Список акций					
RunScript	Командная строка...	Сервис	Run the script Командная строка					
ShowLayout	Показать расположение элементов оформления	Расположение	Показать расположение элементов оформления Показать расположение элементов оформления					
AxInsertControl	Вставить элемент оформления	Расположение	Вставить новый  элемент оформления Вставить элемент оформления	 (interactive)		ProgID:string; Views:int=0		
AxChangeSize	Изменить размер элемента оформления	Расположение	Изменить размер элемента оформления Изменить размер элемента оформления			width:int=-1; height:int=-1		
AxControlProperties	Свойства	Расположение	Изменить свойства элемента оформления Свойства элемента оформления					
AxAlignLeft	Выравнивание по левому краю	Расположение	Выравнивание по левому краю Выравнивание по левому краю					
AxAlignTop	Выравнивание по верхнему краю	Расположение	Выравнивание по верхнему краю Выравнивание по верхнему краю					
AxAlignRight	Выравнивание по правому краю	Расположение	Выравнивание по правому краю Выравнивание по правому краю					
AxAlignBottom	Выравнивание по нижнему краю	Расположение	Выравнивание по нижнему краю Выравнивание по нижнему краю					
AxSpaceAccross	Горизонтальный интервал	Расположение	Выравнивание горизонтального интервала Горизонтальный интервал					
AxSpaceDown	Вертикальный интервал	Расположение	Выравнивание вертикального интервала Вертикальный интервал					
AxMakeSameWidth	Выравнивание по ширине	Расположение	Выравнивание по ширине Выравнивание по ширине					
AxMakeSameHeight	Выравнивание по высоте	Расположение	Выравнивание по высоте Выравнивание по высоте					
AxMakeSameSize	Выравнивание по размеру	Расположение	Выравнивание по размеру Выравнивание по размеру					
AxSetControlSize	Установить размер элемента оформления	Расположение	Установить размер элемента оформления Установить размер элемента оформления			left:int=10; top:int=10; right:int=110; bottom:int=110		
AxAddEventHandlers	Добавить обработчика событий	Расположение	Добавить обработчика событий Добавить обработчика событий					
AxIncMoveSize	Изменить размер элементов оформления	Расположение	Изменить размер элементов оформления Изменить размер элементов оформления			dx:int=0; dy:int=0; dcx:int=0; dcy:int=0		
AxShowControlID	Показать идентификаторы справки	Расположение	Показать идентификаторы справки Показать идентификаторы справки					
FormPressCancel	Form Press Cancel	Layout	Form Press Cancel Form Press Cancel					
FormPressOK	Form Press OK	Layout	Form Press OK Form Press OK					
CalcStat	Статистический анализ	Classification	Статистический анализ Статистический анализ					
ObjectSetClass	Назначить класс	Classification	Назначить класс для выбранного обекта Назначить класс			ClassName:string		
ClassRename	Переименовать класс	Classification	Переименовать класс Переименовать класс			OldName:string; NewName:string		
