ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
Redo	Повторить	Правка	Повторить последнюю ранее отмененную операцию Повторить		D:\vt5\vt5\debug\comps\ActionMan.dll			
Undo	Отменить	Правка	Отменить последнюю выполненную операцию Отменить		D:\vt5\vt5\debug\comps\ActionMan.dll			
EnumActions	Список акций...	For Developers	Список акций Список акций		D:\vt5\vt5\debug\comps\ActionMan.dll			
RunScript	Командная строка...	Сервис	Run the script Командная строка		D:\vt5\vt5\debug\comps\ActionMan.dll			
ShowLayout	Показать расположение элементов оформления	Расположение	Показать расположение элементов оформления Показать расположение элементов оформления		D:\vt5\vt5\debug\comps\axeditor.dll			
AxInsertControl	Вставить элемент оформления	Расположение	Вставить новый  элемент оформления Вставить элемент оформления	 (interactive)	D:\vt5\vt5\debug\comps\axeditor.dll	ProgID:string		
AxChangeSize	Изменить размер элемента оформления	Расположение	Изменить размер элемента оформления Изменить размер элемента оформления		D:\vt5\vt5\debug\comps\axeditor.dll	width:int=-1; height:int=-1		
AxControlProperties	Свойства	Расположение	Изменить свойства элемента оформления Свойства элемента оформления		D:\vt5\vt5\debug\comps\axeditor.dll			
AxAlignLeft	Выравнивание по левому краю	Расположение	Выравнивание по левому краю Выравнивание по левому краю		D:\vt5\vt5\debug\comps\axeditor.dll			
AxAlignTop	Выравнивание по верхнему краю	Расположение	Выравнивание по верхнему краю Выравнивание по верхнему краю		D:\vt5\vt5\debug\comps\axeditor.dll			
AxAlignRight	Выравнивание по правому краю	Расположение	Выравнивание по правому краю Выравнивание по правому краю		D:\vt5\vt5\debug\comps\axeditor.dll			
AxAlignBottom	Выравнивание по нижнему краю	Расположение	Выравнивание по нижнему краю Выравнивание по нижнему краю		D:\vt5\vt5\debug\comps\axeditor.dll			
AxSpaceAccross	Горизонтальный интервал	Расположение	Выравнивание горизонтального интервала Горизонтальный интервал		D:\vt5\vt5\debug\comps\axeditor.dll			
AxSpaceDown	Вертикальный интервал	Расположение	Выравнивание вертикального интервала Вертикальный интервал		D:\vt5\vt5\debug\comps\axeditor.dll			
AxMakeSameWidth	Выравнивание по ширине	Расположение	Выравнивание по ширине Выравнивание по ширине		D:\vt5\vt5\debug\comps\axeditor.dll			
AxMakeSameHeight	Выравнивание по высоте	Расположение	Выравнивание по высоте Выравнивание по высоте		D:\vt5\vt5\debug\comps\axeditor.dll			
AxMakeSameSize	Выравнивание по размеру	Расположение	Выравнивание по размеру Выравнивание по размеру		D:\vt5\vt5\debug\comps\axeditor.dll			
AxSetControlSize	Установить размер элемента оформления	Расположение	Установить размер элемента оформления Установить размер элемента оформления		D:\vt5\vt5\debug\comps\axeditor.dll	left:int=10; top:int=10; right:int=110; bottom:int=110		
AxAddEventHandlers	Добавить обработчика событий	Расположение	Добавить обработчика событий Добавить обработчика событий		D:\vt5\vt5\debug\comps\axeditor.dll			
AxIncMoveSize	Изменить размер элементов оформления	Расположение	Изменить размер элементов оформления Изменить размер элементов оформления		D:\vt5\vt5\debug\comps\axeditor.dll	dx:int=0; dy:int=0; dcx:int=0; dcy:int=0		
AxShowControlID	Показать идентификаторы справки	Расположение	Показать идентификаторы справки Показать идентификаторы справки		D:\vt5\vt5\debug\comps\axeditor.dll			
FormPressCancel	Form Press Cancel	Layout	Form Press Cancel Form Press Cancel		D:\vt5\vt5\debug\comps\axform.dll			
FormPressOK	Form Press OK	Layout	Form Press OK Form Press OK		D:\vt5\vt5\debug\comps\axform.dll			
CalcStat	Статистический анализ	Classification	Статистический анализ Статистический анализ		D:\vt5\vt5\debug\comps\Classes.dll			
ObjectSetClass	Назначить класс	Classification	Назначить класс для выбранного обекта Назначить класс		D:\vt5\vt5\debug\comps\Classes.dll	ClassName:string		
ClassRename	Переименовать класс	Classification	Переименовать класс Переименовать класс		D:\vt5\vt5\debug\comps\Classes.dll	OldName:string; NewName:string		
ClassRecolor	Изменить цвет класса	Classification	Изменить цвета класса Изменить цвет класса		D:\vt5\vt5\debug\comps\Classes.dll	ClassName:string; Color:int=0		
ClassCreate	Создать класс	Classification	Создать новый класс Создать класс		D:\vt5\vt5\debug\comps\Classes.dll	ClassName:string		
ClassDelete	Удалить класс	Classification	Удалить выбранный класс Удалить класс		D:\vt5\vt5\debug\comps\Classes.dll	ClassName:string		
ObjectSetClassDirect	Назначить класс для объекта	Classification	Назначить активный класс для выбранного объекта Назначить класс для объекта		D:\vt5\vt5\debug\comps\Classes.dll	ObjectName:string; ClassName:string		
SetActiveClass	Активизировать класс	Classification	Выбрать класс и активизировать его Активизировать класс		D:\vt5\vt5\debug\comps\Classes.dll	ClassName:string		
CollectByDisp	Расширенный фокус по Disp	Internal Actions	Создать результирующее изображение по Disp Расширенный фокус по Disp	 (filter)	D:\vt5\vt5\debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	Focus Result:Image	
CollectByPoints	Расширенный фокус  по точкам	Internal Actions	Создать результирующее изображение по точкам Расширенный фокус  по точкам	 (filter)	D:\vt5\vt5\debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	CollectedByPoints:Image	
CollectByMasks	Расширенный фокус по маскам	Internal Actions	Создать результирующее изображение по маскам Расширенный фокус по маскам	 (filter)	D:\vt5\vt5\debug\comps\Collect.dll	Image0:Image; Image1:Image; Image2:Image; Image3:Image; Image4:Image; Image5:Image; Image6:Image; Image7:Image; Image8:Image; Image9:Image; Image10:Image; Image11:Image; Image12:Image; Image13:Image; Image14:Image; Image15:Image; Image16:Image; Image17:Image; Image18:Image; Image19:Image; Image20:Image	Focus Result:Image	
CompareImages	Сравнить изображения	Изображение	Поворот-PgDn, PgUp; перемещение-стрелки; изм-е размера-Shift+стрелки Сравнить изображения	 (interactive)	D:\vt5\vt5\debug\comps\Compare.dll			
FreeTransformation	Свободное преобразование	Изображение	Свободное преобразование изображения Свободное преобразование	 (interactive)	D:\vt5\vt5\debug\comps\Compare.dll			
TransformationByPoints	Совместить точки на изображениях	Изображение	Совместить реперные точки на изображениях. Установите на каждом изображении соответствующие точки. Двойное нажатие - завершение операции Совмещение точек	 (interactive)	D:\vt5\vt5\debug\comps\Compare.dll			
SendTo	Отправить в...	Сервис	Отправить активный элемент в другой открытый документ Отправить в		D:\vt5\vt5\debug\comps\Data.dll	SourceDocGuid:string; TargetDocGuid:string; PutToDocument:int=1; DBaseFieldName:string; NewDocument:int=0; SingleObjectName:string		
DataToExcelAvail	DataToExcelAvail	Правка	DataToExcelAvail DataToExcelAvail		D:\vt5\vt5\debug\comps\Data.dll			
ClipboardAvail	Буфер обмена доступен	Правка	Буфер обмена доступен Буфер обмена доступен		D:\vt5\vt5\debug\comps\Data.dll			
CreateImageByView	Объединить видимые элементы	Изображение	Объединить элементы из активной части окна документа Объединить видимые элементы		D:\vt5\vt5\debug\comps\Data.dll	ImageName:string		
ObjectNew	Новый элемент...	Правка	Создание нового элемента в активном документе Новый элемент		D:\vt5\vt5\debug\comps\Data.dll	Type:string; Name:string; ActivateObject:int=1		
ObjectSelect	Выбрать элемент	Правка	Выбор существующего элемента Выбрать элемент		D:\vt5\vt5\debug\comps\Data.dll	Object:string; ActivateType:int=0		
ObjectDelete	Удалить элемент(ы)	Правка	Удаление элементов, выбранных в окне Содержание Удалить выбранные элементы		D:\vt5\vt5\debug\comps\Data.dll	Object:string		
ObjectRename	Переименовать элемент...	Правка	Переименование элемента Переименовать элемент		D:\vt5\vt5\debug\comps\Data.dll	OldName:string; NewName:string		
ObjectProperties	Свойства элемента	Правка	Свойства элемента Свойства элемента		D:\vt5\vt5\debug\comps\Data.dll	Object:string		
ObjectLoad	Загрузить элемент	Файл	Загрузить новый элемент Загрузить элемент		D:\vt5\vt5\debug\comps\Data.dll	Type:string; Path:string; ActivateObject:int=1		
ObjectSave	Сохранить элемент как...	Файл	Сохранение элемента в отдельном файле Сохранить элемент как		D:\vt5\vt5\debug\comps\Data.dll	ObjectName:string; Path:string		
ObjectOrganize	Организовать элементы	Правка	Организовать элементы Организовать элементы		D:\vt5\vt5\debug\comps\Data.dll			
ObjectMoveToApp	Переместить элемент в приложение	Правка	Перемещение элемента из документа в приложение Переместить элемент в приложение		D:\vt5\vt5\debug\comps\Data.dll	ObjectName:string		
ObjectMoveToDoc	Переместить элемент в документ	Правка	Перемещение элемента из приложения в документ Переместить элемент в документ		D:\vt5\vt5\debug\comps\Data.dll	ObjectName:string		
EditPaste	Вставить	Правка	Вставить элемент из буфера обмена Вставить		D:\vt5\vt5\debug\comps\Data.dll			
EditCut	Вырезать	Правка	Переместить  элемент в буфер обмена Вырезать		D:\vt5\vt5\debug\comps\Data.dll	ObjectName:string		
EditCopy	Копировать	Правка	Копирование элемента в буфер обмена Копировать		D:\vt5\vt5\debug\comps\Data.dll	ObjectName:string		
ObjectDrag	ObjectDrag	По умолчанию	ObjectDrag ObjectDrag		D:\vt5\vt5\debug\comps\Data.dll	xOffset:int=0; yOffset:int=0		
ObjectDrop	ObjectDrop	По умолчанию	ObjectDrop ObjectDrop		D:\vt5\vt5\debug\comps\Data.dll	PositionX:int=0; PositionY:int=0; Copy:int=0		
ObjectDeleteSelection	Удалить активный объект	Правка	Удаление активного объекта Удалить активный объект		D:\vt5\vt5\debug\comps\Data.dll			
DataShowContents	Показать сожержание данных...	For Developers	Показать сожержание данных Показать сожержание данных		D:\vt5\vt5\debug\comps\Data.dll			
DataUnselect	Снять выделение всех объектов	Internal Actions	Снять выделение всех объектов Снять выделение всех объектов		D:\vt5\vt5\debug\comps\Data.dll			
ShowContext	Окно Содержание	Вид	Показать окно Содержание документа Окно Содержание		D:\vt5\vt5\debug\comps\Data.dll			
ChooseObject	Выбрать объект...	Правка	Выбрать объект Выбрать объект		D:\vt5\vt5\debug\comps\DataUI.dll			
